"","YEAR","STATE","DISTRICT","CANDIDATE","PARTY","INCUMBENT","VOTES","PERCENT"
"1",2014,"AL","S","Jeff Sessions","R",1,NA,NA
"2",2014,"AL","1","Bradley Byrne","R",1,103320,0.683
"3",2014,"AL","2","Martha Roby","R",1,95073,0.661
"4",2014,"AL","3","Mike D. Rogers","R",1,102303,0.656
"5",2014,"AL","4","Robert B. Aderholt","R",1,NA,NA
"6",2014,"AL","5","Mo Brooks","R",1,115212,0.748
"7",2014,"AL","6","Gary Palmer","R",0,135711,0.763
"8",2014,"AL","7","Terri A. Sewell","D",1,NA,NA
"9",2014,"AK","S","Dan Sullivan","R",0,119579,0.488
"10",2014,"AK","1","Don Young","R",1,125410,0.516
"11",2014,"AZ","1","Ann Kirkpatrick","D",1,94551,0.525
"12",2014,"AZ","2","Martha McSally","R",0,108230,0.5
"13",2014,"AZ","3","Raúl A. Grijalva","D",1,57398,0.556
"14",2014,"AZ","4","Paul Gosar","R",1,121020,0.7
"15",2014,"AZ","5","Matt Salmon","R",1,124801,0.696
"16",2014,"AZ","6","David Schweikert","R",1,129527,0.649
"17",2014,"AZ","7","Ruben Gallego","D",0,54222,0.75
"18",2014,"AZ","8","Trent Franks","R",1,128653,0.758
"19",2014,"AZ","9","Kyrsten Sinema","D",1,88436,0.547
"20",2014,"AR","S","Tom Cotton","R",0,476309,0.565
"21",2014,"AR","1","Rick Crawford","R",1,122722,0.632
"22",2014,"AR","2","French Hill","R",0,123014,0.519
"23",2014,"AR","3","Steve Womack","R",1,151093,0.794
"24",2014,"AR","4","Bruce Westerman","R",0,110163,0.537
"25",2014,"CA","1","Doug LaMalfa","R",1,110258,0.619
"26",2014,"CA","2","Jared Huffman","D",1,117397,0.739
"27",2014,"CA","3","John Garamendi","D",1,68303,0.522
"28",2014,"CA","4","Tom McClintock","R",1,104900,0.605
"29",2014,"CA","5","Mike Thompson","D",1,97446,0.758
"30",2014,"CA","6","Doris Matsui","D",1,80258,0.724
"31",2014,"CA","7","Ami Bera","D",1,92394,0.504
"32",2014,"CA","8","Paul Cook","R",1,74678,0.678
"33",2014,"CA","9","Jerry McNerney","D",1,46762,0.522
"34",2014,"CA","10","Jeff Denham","R",1,62750,0.564
"35",2014,"CA","11","Mark DeSaulnier","D",0,106989,0.669
"36",2014,"CA","12","Nancy Pelosi","D",1,150390,0.831
"37",2014,"CA","13","Barbara Lee","D",1,166182,0.884
"38",2014,"CA","14","Jackie Speier","D",1,89009,0.762
"39",2014,"CA","15","Eric Swalwell","D",1,98511,0.698
"40",2014,"CA","16","Jim Costa","D",1,46245,0.507
"41",2014,"CA","17","Michael M. Honda","D",1,68001,0.518
"42",2014,"CA","18","Anna G. Eshoo","D",1,119532,0.674
"43",2014,"CA","19","Zoe Lofgren","D",1,82965,0.675
"44",2014,"CA","20","Sam Farr","D",1,77305,0.743
"45",2014,"CA","21","David Valadao","R",1,41167,0.585
"46",2014,"CA","22","Devin Nunes","R",1,80356,0.723
"47",2014,"CA","23","Kevin McCarthy","R",1,94308,0.754
"48",2014,"CA","24","Lois Capps","D",1,97363,0.517
"49",2014,"CA","25","Steve Knight","R",0,53952,0.534
"50",2014,"CA","26","Julia Brownley","D",1,79848,0.508
"51",2014,"CA","27","Judy Chu","D",1,67884,0.589
"52",2014,"CA","28","Adam B. Schiff","D",1,77761,0.76
"53",2014,"CA","29","Tony Cárdenas","D",1,41419,0.742
"54",2014,"CA","30","Brad Sherman","D",1,71736,0.65
"55",2014,"CA","31","Pete Aguilar","D",0,48960,0.514
"56",2014,"CA","32","Grace F. Napolitano","D",1,44504,0.593
"57",2014,"CA","33","Ted Lieu","D",0,93544,0.586
"58",2014,"CA","34","Xavier Becerra","D",1,37389,0.731
"59",2014,"CA","35","Norma Torres","D",0,36992,0.633
"60",2014,"CA","36","Raul Ruiz","D",1,67970,0.538
"61",2014,"CA","37","Karen Bass","D",1,79699,0.839
"62",2014,"CA","38","Linda T. Sánchez","D",1,51862,0.587
"63",2014,"CA","39","Ed Royce","R",1,86748,0.688
"64",2014,"CA","40","Lucille Roybal-Allard","D",1,26687,0.616
"65",2014,"CA","41","Mark Takano","D",1,43180,0.56
"66",2014,"CA","42","Ken Calvert","R",1,70602,0.659
"67",2014,"CA","43","Maxine Waters","D",1,59591,0.7
"68",2014,"CA","44","Janice Hahn","D",1,51711,0.869
"69",2014,"CA","45","Mimi Walters","R",0,103165,0.652
"70",2014,"CA","46","Loretta Sanchez","D",1,45694,0.586
"71",2014,"CA","47","Alan Lowenthal","D",1,62544,0.552
"72",2014,"CA","48","Dana Rohrabacher","R",1,108004,0.642
"73",2014,"CA","49","Darrell Issa","R",1,94365,0.602
"74",2014,"CA","50","Duncan Hunter","R",1,107835,0.714
"75",2014,"CA","51","Juan C. Vargas","D",1,51644,0.688
"76",2014,"CA","52","Scott Peters","D",1,98332,0.516
"77",2014,"CA","53","Susan A. Davis","D",1,83686,0.587
"78",2014,"CO","S","Cory Gardner","R",0,965974,0.485
"79",2014,"CO","1","Diana DeGette","D",1,174756,0.657
"80",2014,"CO","2","Jared Polis","D",1,191733,0.565
"81",2014,"CO","3","Scott Tipton","R",1,159793,0.581
"82",2014,"CO","4","Ken Buck","R",0,183956,0.648
"83",2014,"CO","5","Doug Lamborn","R",1,156749,0.598
"84",2014,"CO","6","Mike Coffman","R",1,141221,0.52
"85",2014,"CO","7","Ed Perlmutter","D",1,139166,0.549
"86",2014,"CT","1","John B. Larson","D",1,135134,0.622
"87",2014,"CT","2","Joe Courtney","D",1,141069,0.623
"88",2014,"CT","3","Rosa DeLauro","D",1,139432,0.671
"89",2014,"CT","4","Jim Himes","D",1,106690,0.537
"90",2014,"CT","5","Elizabeth Esty","D",1,109819,0.53
"91",2014,"DE","S","Chris Coons","D",1,130645,0.558
"92",2014,"DE","1","John Carney","D",1,137245,0.593
"93",2014,"FL","1","Jeff Miller","R",1,164897,0.702
"94",2014,"FL","2","Gwen Graham","D",0,125132,0.504
"95",2014,"FL","3","Ted Yoho","R",1,148483,0.65
"96",2014,"FL","4","Ander Crenshaw","R",1,177565,0.783
"97",2014,"FL","5","Corrine Brown","D",1,112092,0.655
"98",2014,"FL","6","Ron DeSantis","R",1,166101,0.625
"99",2014,"FL","7","John L. Mica","R",1,144370,0.636
"100",2014,"FL","8","Bill Posey","R",1,180541,0.659
"101",2014,"FL","9","Alan Grayson","D",1,93739,0.54
"102",2014,"FL","10","Daniel Webster","R",1,142967,0.616
"103",2014,"FL","11","Rich Nugent","R",1,181398,0.667
"104",2014,"FL","12","Gus Bilirakis","R",1,NA,NA
"105",2014,"FL","13","David Jolly","R",1,168092,0.753
"106",2014,"FL","14","Kathy Castor","D",1,NA,NA
"107",2014,"FL","15","Dennis A. Ross","R",1,128533,0.603
"108",2014,"FL","16","Vern Buchanan","R",1,168990,0.616
"109",2014,"FL","17","Tom Rooney","R",1,141310,0.632
"110",2014,"FL","18","Patrick Murphy","D",1,151253,0.598
"111",2014,"FL","19","Curt Clawson","R",1,159038,0.646
"112",2014,"FL","20","Alcee L. Hastings","D",1,128217,0.816
"113",2014,"FL","21","Ted Deutch","D",1,NA,NA
"114",2014,"FL","22","Lois Frankel","D",1,125071,0.58
"115",2014,"FL","23","Debbie Wasserman Schultz","D",1,103034,0.626
"116",2014,"FL","24","Frederica S. Wilson","D",1,129065,0.862
"117",2014,"FL","25","Mario Diaz-Balart","R",1,NA,NA
"118",2014,"FL","26","Carlos Curbelo","R",0,82780,0.515
"119",2014,"FL","27","Ileana Ros-Lehtinen","R",1,NA,NA
"120",2014,"GA","S","David A. Perdue","R",0,1355392,0.53
"121",2014,"GA","1","Buddy Carter","R",0,93882,0.612
"122",2014,"GA","2","Sanford D. Bishop Jr.","D",1,96215,0.591
"123",2014,"GA","3","Lynn Westmoreland","R",1,NA,NA
"124",2014,"GA","4","Hank Johnson","D",1,NA,NA
"125",2014,"GA","5","John Lewis","D",1,NA,NA
"126",2014,"GA","6","Tom Price","R",1,138616,0.661
"127",2014,"GA","7","Rob Woodall","R",1,113260,0.655
"128",2014,"GA","8","Austin Scott","R",1,NA,NA
"129",2014,"GA","9","Doug Collins","R",1,145856,0.807
"130",2014,"GA","10","Jody Hice","R",0,130572,0.665
"131",2014,"GA","11","Barry Loudermilk","R",0,NA,NA
"132",2014,"GA","12","Rick Allen","R",0,90987,0.548
"133",2014,"GA","13","David Scott","D",1,NA,NA
"134",2014,"GA","14","Tom Graves","R",1,NA,NA
"135",2014,"HI","S","Brian Schatz","D",1,246720,0.698
"136",2014,"HI","1","Mark Takai","D",0,93331,0.519
"137",2014,"HI","2","Tulsi Gabbard","D",1,141978,0.787
"138",2014,"ID","S","Jim Risch","R",1,285322,0.653
"139",2014,"ID","1","Raúl R. Labrador","R",1,143558,0.65
"140",2014,"ID","2","Mike Simpson","R",1,131465,0.614
"141",2014,"IL","S","Richard J. Durbin","D",1,1850862,0.531
"142",2014,"IL","1","Bobby L. Rush","D",1,151566,0.722
"143",2014,"IL","2","Robin Kelly","D",1,152905,0.78
"144",2014,"IL","3","Dan Lipinski","D",1,113059,0.643
"145",2014,"IL","4","Luis V. Gutiérrez","D",1,75344,0.779
"146",2014,"IL","5","Mike Quigley","D",1,109796,0.631
"147",2014,"IL","6","Peter Roskam","R",1,153410,0.672
"148",2014,"IL","7","Danny K. Davis","D",1,145749,0.85
"149",2014,"IL","8","Tammy Duckworth","D",1,79651,0.554
"150",2014,"IL","9","Jan Schakowsky","D",1,134070,0.657
"151",2014,"IL","10","Robert Dold","R",0,93984,0.516
"152",2014,"IL","11","Bill Foster","D",1,87790,0.532
"153",2014,"IL","12","Mike Bost","R",0,106435,0.527
"154",2014,"IL","13","Rodney Davis","R",1,122661,0.587
"155",2014,"IL","14","Randy Hultgren","R",1,143354,0.656
